Ticker,Market_Cap,Real_Traders,Total_Holders,Volume,Insider_Percentage,Dev_Status,Top_10_Holding,Sniper_Count,Timestamp,Address
BANANACAT,$78K,142,142,$30K,73%,55%,55%,4,17h,Etjdgr4pzUKC1mjGDZfFjgJG76q3H2Hhp2qLpikDmoon
TrumpPump,$70K,168,168,$17K,67%,41%,41%,3,20h,8FndaZKMt2tu1isnGXjmSFRTbmqmXZzgyELRC1JSmoon
CL,$69K,53,53,$16K,61%,66%,66%,2,1 d,5VXURyi9AtphvhTh51rXRnmDSNq1gjtUd4Aq3U6hmoon
AI,$66K,75,254,$9K,78%,14%,14%,5,7h,7CbiUa5xXvrgbz5e5GimkPFbAP4Sa23ASw9ikwv3pump
ROSSCOIN,$65K,39,294,$17K,7%,23%,23%,6,7h,8wZLLApautdsvWZX8zmBcmyAPfmKW2krrHLf1jKApump
TETRX,$64K,59,80,$16K,59%,53%,53%,4,11h,Gy5owmTsmwzsRvbhd1YWZ3BCkor8BiiAdGKE24uApump
Niggatrump,$63K,22,103,$10K,,39%,39%,13,7h,6KAcJTPgZXfvwk4SEhoBFG4ToovPRP9MrkBK2srqpump
AINEB,$62K,46,77,$13K,65%,29%,29%,8,7h,E1rWMJ7zLsbfg419Xya9rjRkBZTSPGRyY5mURpGKpump
CATSTORN,$58K,77,312,$13K,57%,11%,11%,34,7h,8PdLBocQDtAtpvgtrxaa7vYCKSnYhMWWrhAm48apump
STEAM,$61K,186,186,$44K,72%,48%,48%,3,1 d,AGBPtTpTa4cK7K53Fu3veSAvTudViypj77GcCEXsmoon
DAIT,$62K,231,231,$23K,67%,34%,34%,1,15h,Df7ScVDCqBvXzr79jo2V6PBKy7KM3qT3gNhMAMF7moon
GGC,$62K,225,225,$14K,73%,9%,9%,1,1 d,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
PG,$55K,88,140,$26K,9%,14%,14%,5,23h,3wPHW9KBfTAKXRKETUJpaitdNYA3XYtKDusC5KkFpump
Jelly AI,$57K,51,241,$13K,73%,13%,13%,12,7h,EfdsNcHLTEyUFhHhf1MXn8Dg4DoBhAL2E7PdgWNUpump
Boltrade,$54K,47,13,$12K,,73%,73%,1,7h,579wUjNVh2vSDdbSyBhqPKRBs6ApqhH4AZTpZZcZpump
EGC,$54K,1057,320,$13K,71%,10%,10%,3,10h,6pc2ao7vdvYeqM9NEFCpeW6kTbKrctjudSsUBKE6pump
BAIL,$51K,48,73,$8K,,37%,37%,4,10h,8C61titgfNN5pT6iKGCayMfJivr5Cqihfkjv9YMhpump
ChillCat,$52K,228,228,$14K,70%,9%,9%,8,1 d,EZRRfW7q3mou2pYUaQkrAFjLbSbWKwMDmpEveWsXpump
papipepe,$51K,131,226,$19K,51%,7%,7%,2,1 d,EpvVtrD3DneLNn9Bk9EbYGpyrkUi3nvpETnPXnbTpump
Sygnum,$51K,30,11,$15K,1%,72%,72%,4,9h,GF6wLE9sSfUksBDqvBKy2okUxPJ1vCegDAH6sSf6pump
SuitCat,$49K,56,56,$735,60%,46%,46%,1,7h,5AzsWNtdvFuamg51TgtS2wSPeqc9f67ToP3ndp6tmoon
CHIPI,$48K,63,68,$12K,55%,29%,29%,11,7h,vvxHm3oGh5V7gVRTszidh2kKzKeAiwwbJTq2nt7Wump
TTC,$45K,275,204,$3K,69%,9%,9%,3,8h,BsdSYAEyySGCREgFfkVCmphAwd1CxsAPRjVUjb8Epump
DDT,$43K,42,207,$8K,69%,9%,9%,4,7h,FBFvkqg7wTa4LUBbawUdwCLVAXvgW7bYxY2Y9KhMpump
SOULS,$42K,34,34,$1K,63%,24%,24%,2,14h,4kW2r3iGDG43WA7WFvjR4LwHQ2ZwDLQx5vyDZy16pump
FETCH AI,$42K,38,38,$7K,63%,25%,25%,1,18h,DR3vBoqfovxYSk4AgWSsYmLVYLRfwaZywFVCKEGNpump
SAURON,$42K,66,66,$5K,63%,23%,23%,6,1 d,bYNCgdPf65QGdrPjxHuSLqEQN5XZXLD73xp8T3Wpump
CCD,$39K,108,93,$10K,59%,21%,21%,11,7h,57sxqiabZFfqupTVe7trm6d6aYHCtgw6UrXWZZAQpump
CAIN,$40K,48,158,$21K,3%,34%,34%,74,7h,6QfNK2Y1vP89ZVMR3rnq9t8FsFcyMvnKhzxCHfEtvG4b
ViggleAI,$39K,74,132,$9K,35%,30%,30%,7,7h,7V91DUmPyrB84Eq6uU8WZ3mbgJECow1mp3YiTx2Dpump
SKULLY,$40K,99,257,$54K,1%,23%,23%,3,7h,83UMsz8NzWKHofBGQZT26sqNCwPEJMx7YoYjfmXUpump
CRASS,$40K,26,46,$16K,1%,59%,59%,7,1 d,8jRjmorhLhZ2kS3nqkkYfdoqw1CUXiZqREDzchZeJxgp
CHIPI,$39K,3,3,$10K,,67%,67%,,7h,2kjqxiaUmwpvFcCvkjwnQsLLUq1QouHd7EetepBspump
ChineseApp,$37K,52,323,$17K,3%,37%,37%,35,7h,6HEPnLFisDY2Pg6pdUaKVwy7UC351xVW3Efu3KTnpump
COOK,$36K,25,38,$9K,44%,43%,43%,15,7h,CXZuNPAR4XoCbcnfgA8bFZZNo6VjQJHWH5PELM8Xpump
LUDICORE,$36K,304,289,$140K,6%,21%,21%,40,10h,DP427ZvdbGLKoimFsbvY2eU4GYwbgh2mkvMWYvN1pump
XAIA,$36K,34,50,$9K,55%,27%,27%,8,7h,VK6fXDp5FMFWoGRA6SXcFY51Zv1Xao1q8sYERaXxump
AiVerse,$35K,55,55,$41K,32%,31%,31%,14,22h,3H9xYxR86zrsJJjRxCBtitLZK2r3vvjBe1VZZEoipump
TVC,$35K,471,1533,$114K,6%,24%,24%,3,1 d,C2zXniUvZTFm4UzHQcVR99Nspk2ttLr1RvxVvXNkpump
HEXANULL,$35K,576,320,$70K,5%,29%,29%,4,15h,EsnyU7LFbuj6XNGrwG7c9nhLW4BkZrzYSWdDEJYNpump
ToAi,$33K,26,26,$9K,41%,50%,50%,7,15h,87nBYZ9HttwzEcy6X6hnCH8Gdev8TiP6RCthWvRhpump
â…ˆETH,$32K,251,151,$44K,1%,27%,27%,2,7h,Cs2qsaGSuXi7Mvn4yLzQ7Ny4PqhUfVjzDCfW268qpump
